Age,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,12352,11190,9776,9283,9128,9473,9112,8161,7897,7356,7000,7030,7180,7077,7061,6542,6272,5825,5141,4846,4627,4512,4496,4278,4059,4059,3813,3691,3538,3686,3659,3672,3737,3740,3745,3677,3504,3502,3347,3065,3014,3020,3004,2971,2831
1-4,2288,1999,1771,1638,1581,1365,1388,1370,1321,1262,1262,1302,1214,1207,1232,1250,1163,1148,1014,1009,916,830,850,800,804,805,678,657,662,665,624,595,631,645,615,549,561,567,523,554,511,510,497,437,417
5-9,1439,1369,1314,1175,1206,1136,1018,869,760,787,727,707,659,642,697,685,625,675,595,563,528,543,488,522,518,455,444,448,405,410,366,347,364,337,369,320,326,293,325,295,327,302,278,309,305
10-14,1278,1247,1253,1152,1226,1169,1101,1090,1042,983,923,938,751,758,711,666,679,668,605,679,630,646,586,602,594,577,520,569,556,545,483,528,499,482,379,404,367,324,340,337,338,320,321,319,352
15-19,2631,2622,2702,2642,2885,2743,2793,2746,2655,2553,2373,2238,2311,2226,2137,2135,2021,1955,1633,1569,1431,1552,1575,1623,1656,1575,1536,1553,1527,1454,1455,1472,1445,1402,1385,1326,1153,997,959,933,953,951,895,882,978
20-24,2773,2831,2780,2786,2878,2707,2751,2656,2738,2597,2721,2760,2836,2858,2905,2891,2897,2787,2636,2570,2428,2443,2288,2325,2205,2115,2168,2075,2131,2149,2056,2006,2002,2013,2031,1850,1811,1655,1550,1496,1605,1553,1636,1426,1589
25-29,2848,2930,2944,2768,2816,2759,2596,2512,2481,2496,2578,2428,2563,2624,2710,2831,3163,2992,3009,3075,2972,3081,2990,2863,2995,2845,2769,2578,2517,2347,2268,2131,2263,2220,2362,2363,2121,2108,1982,1996,2037,2041,2176,2002,2185
30-34,3042,3126,3187,3244,3471,3497,3347,3332,3237,3019,2949,2876,2987,3126,3188,3092,3158,3283,3364,3520,3706,3846,3889,3648,3802,3765,3697,3776,3666,3563,3328,3213,3053,3066,3023,2810,2811,2728,2661,2782,2762,2829,3004,2807,2989
35-39,4534,4385,4352,4285,4508,4353,4341,4181,4426,4563,4525,4704,4566,4404,4333,4320,4355,4308,4371,4254,4365,4438,4670,4579,4710,4785,5046,5052,4975,4982,5059,4821,4834,4705,4774,4581,4305,4046,3690,3807,3756,3913,3861,4154,4281
40-44,7952,7518,7361,7050,7123,7059,6817,6672,6348,6292,6169,6421,6533,6843,7142,7018,7099,7089,6736,6596,6532,6497,6367,6419,6499,6504,6610,6698,6767,7054,6881,7065,7085,7116,7191,7291,6901,6709,6315,6413,6327,6131,6248,5891,5928
