Ages,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0," 789,700 "," 785,100 "," 757,000 "," 755,200 "," 731,700 "," 718,800 "," 733,300 "," 712,500 "," 704,500 "," 682,400 "," 662,662 "," 661,786 "," 679,910 "," 704,450 "," 716,331 "," 734,035 "," 757,429 "," 788,225 "," 782,726 "," 791,801 "," 801,184 "," 815,850 "," 792,557 "," 778,251 "," 776,769 "," 782,450 "," 763,201 "," 745,263 "," 722,881 "
1," 771,600 "," 787,700 "," 782,300 "," 754,500 "," 753,500 "," 730,000 "," 718,700 "," 731,600 "," 713,100 "," 701,600 "," 679,455 "," 664,800 "," 662,639 "," 679,406 "," 704,755 "," 716,092 "," 737,641 "," 758,643 "," 787,962 "," 781,631 "," 788,412 "," 806,708 "," 821,355 "," 799,621 "," 786,125 "," 784,742 "," 789,285 "," 770,614 "," 752,554 "
2," 767,800 "," 771,500 "," 787,400 "," 781,700 "," 754,800 "," 752,200 "," 729,000 "," 719,900 "," 732,000 "," 712,100 "," 698,903 "," 682,505 "," 667,850 "," 663,651 "," 680,794 "," 704,383 "," 717,749 "," 740,782 "," 759,942 "," 788,659 "," 782,209 "," 793,264 "," 811,838 "," 827,810 "," 806,704 "," 793,611 "," 790,680 "," 796,314 "," 777,309 "
3," 779,700 "," 768,300 "," 772,000 "," 787,900 "," 781,400 "," 755,100 "," 751,000 "," 728,800 "," 722,000 "," 731,500 "," 710,986 "," 702,372 "," 685,822 "," 670,805 "," 665,589 "," 681,323 "," 705,686 "," 718,402 "," 743,661 "," 761,633 "," 790,453 "," 786,439 "," 797,448 "," 817,697 "," 834,076 "," 813,356 "," 799,076 "," 797,183 "," 802,334 "
4," 758,200 "," 778,900 "," 767,700 "," 772,800 "," 788,600 "," 781,600 "," 754,900 "," 749,700 "," 729,200 "," 723,500 "," 730,156 "," 714,737 "," 706,437 "," 689,289 "," 674,460 "," 666,792 "," 683,009 "," 705,931 "," 718,630 "," 746,833 "," 764,623 "," 794,058 "," 790,425 "," 802,891 "," 823,418 "," 840,155 "," 818,499 "," 804,654 "," 802,185 "
5," 750,800 "," 757,800 "," 778,800 "," 768,100 "," 773,100 "," 789,500 "," 781,100 "," 755,200 "," 749,300 "," 728,100 "," 724,436 "," 734,046 "," 718,816 "," 710,619 "," 691,326 "," 676,448 "," 668,737 "," 683,652 "," 706,675 "," 719,662 "," 749,378 "," 767,888 "," 797,583 "," 795,324 "," 808,040 "," 828,601 "," 844,567 "," 823,204 "," 809,152 "
6," 746,700 "," 750,800 "," 758,200 "," 779,100 "," 769,100 "," 774,800 "," 789,800 "," 781,300 "," 756,500 "," 747,600 "," 727,937 "," 728,146 "," 738,183 "," 722,477 "," 712,945 "," 693,670 "," 680,008 "," 670,158 "," 684,756 "," 707,338 "," 719,588 "," 752,094 "," 771,000 "," 801,637 "," 799,539 "," 812,484 "," 832,406 "," 848,681 "," 827,149 "
7," 717,800 "," 747,200 "," 750,400 "," 758,900 "," 779,500 "," 769,800 "," 775,200 "," 790,100 "," 781,400 "," 755,700 "," 745,817 "," 731,009 "," 732,731 "," 742,354 "," 724,826 "," 715,647 "," 697,650 "," 683,270 "," 672,111 "," 685,914 "," 706,879 "," 722,513 "," 755,030 "," 774,826 "," 805,819 "," 803,811 "," 815,974 "," 836,008 "," 852,059 "
8," 720,700 "," 718,400 "," 748,100 "," 750,700 "," 759,800 "," 779,900 "," 769,900 "," 776,100 "," 791,500 "," 780,400 "," 755,780 "," 749,690 "," 734,751 "," 737,099 "," 744,563 "," 727,362 "," 719,998 "," 701,198 "," 686,883 "," 673,953 "," 686,034 "," 709,589 "," 725,420 "," 758,634 "," 778,761 "," 809,767 "," 807,286 "," 819,824 "," 838,680 "
9," 720,600 "," 720,400 "," 719,100 "," 749,300 "," 750,900 "," 760,800 "," 779,900 "," 770,400 "," 777,700 "," 791,800 "," 780,454 "," 758,094 "," 753,773 "," 738,187 "," 739,928 "," 747,299 "," 731,213 "," 723,676 "," 705,020 "," 690,309 "," 674,821 "," 688,971 "," 712,416 "," 728,839 "," 762,287 "," 782,793 "," 813,213 "," 810,807 "," 822,812 "
