Age,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,12352,11190,9776,9283,9128,9473,9112,8161,7897,7356,7000,7030,7180,7077,7061,6542,6272,5825,5141,4846,4627,4512,4496,4278,4059,4059,3813,3691,3538,3686,3659,3672,3737,3740,3745,3677,3504,3502,3347,3065,3014,3020,3004,2971,2831
1,878,748,686,577,625,526,586,568,573,496,545,552,497,501,492,493,500,488,413,393,384,344,343,329,340,326,266,256,279,260,271,273,288,272,264,223,245,261,238,253,224,219,213,162,190
2,552,455,418,413,360,322,334,346,340,316,292,316,294,308,311,315,275,285,254,263,234,198,225,203,211,224,160,162,160,163,141,144,155,165,142,147,130,140,117,131,127,115,123,114,80
3,501,431,348,340,325,265,235,242,230,235,246,250,235,216,253,247,224,211,190,198,159,172,145,143,144,147,136,125,101,134,120,109,104,123,121,98,111,88,87,89,101,95,90,82,84
4,357,365,319,308,271,252,233,214,178,215,179,184,188,182,176,195,164,164,157,155,139,116,137,125,109,108,116,114,122,108,92,69,84,85,88,81,75,78,81,81,59,81,71,79,63
5,345,311,327,271,256,227,220,178,155,172,168,162,158,158,146,167,142,152,132,133,107,130,124,117,108,98,92,93,89,96,71,68,77,69,81,80,67,73,85,67,67,56,72,73,73
6,307,274,276,254,242,237,199,192,153,169,150,142,143,145,141,135,144,134,129,121,115,117,103,105,111,98,101,97,85,90,83,88,72,70,71,63,68,63,68,57,78,63,58,63,72
7,303,280,255,221,246,210,194,171,145,149,140,142,142,113,150,144,106,133,121,102,98,98,72,93,116,90,80,92,76,68,67,68,57,61,70,50,53,45,56,68,67,71,52,60,57
8,255,251,228,227,209,239,219,160,167,146,131,119,112,115,152,117,119,125,105,103,110,97,81,108,87,88,85,93,72,73,76,58,85,69,73,60,72,56,64,52,51,58,39,61,59
9,229,253,228,202,253,223,186,168,140,151,138,142,104,111,108,122,114,131,108,104,98,101,108,99,96,81,86,73,83,83,69,65,73,68,74,67,66,56,52,51,64,54,57,52,44
10,252,226,232,211,238,194,192,189,181,142,151,139,113,96,113,122,116,118,101,114,87,125,81,117,87,102,98,89,86,78,76,75,75,69,72,56,58,46,57,57,63,58,50,40,70
11,264,226,224,210,227,215,218,190,185,178,153,170,128,117,117,112,137,119,98,113,101,105,94,96,115,106,89,101,90,92,66,88,89,80,69,73,60,60,63,50,53,59,62,62,62
12,233,259,246,203,229,214,199,192,189,203,187,176,137,139,122,129,116,114,132,126,134,119,106,116,119,120,100,117,89,122,110,114,82,96,66,77,76,71,71,61,53,53,59,71,59
13,262,252,270,257,244,233,216,239,218,207,193,206,170,190,173,132,139,133,126,154,129,136,128,126,130,109,107,121,132,111,105,119,124,106,84,93,68,63,67,79,79,78,60,71,75
14,267,284,281,271,288,313,276,280,269,253,239,247,203,216,186,171,171,184,148,172,179,161,177,147,143,140,126,141,159,142,126,132,129,131,88,105,105,84,82,90,90,72,90,75,86
15,345,298,288,326,324,304,292,336,319,305,318,270,283,258,249,227,225,233,176,195,180,199,211,206,169,175,151,170,167,161,182,144,174,164,143,158,126,102,97,111,104,122,98,97,123
16,403,441,458,429,474,407,429,388,410,418,367,355,347,330,323,320,328,290,230,235,217,221,251,271,291,241,233,228,246,227,223,229,213,216,205,191,161,144,122,138,154,128,138,144,136
17,598,623,634,675,702,632,682,667,626,567,534,520,493,483,505,477,460,410,352,331,313,324,351,349,330,339,297,321,331,304,293,336,327,299,310,281,248,210,200,169,179,174,168,176,182
18,635,662,681,593,729,724,744,703,662,630,542,549,611,563,532,560,504,490,421,388,337,395,381,406,437,374,426,417,400,390,373,372,349,359,356,331,313,242,270,231,247,251,237,225,257
19,650,598,641,619,656,676,646,652,638,633,612,544,577,592,528,551,504,532,454,420,384,413,381,391,429,446,429,417,383,372,384,391,382,364,371,365,305,299,270,284,269,276,254,240,280
20,619,610,619,590,638,597,619,615,645,633,612,619,579,586,613,561,560,515,471,495,428,428,394,418,394,416,426,414,428,421,410,399,402,361,412,365,333,312,294,267,280,276,282,269,283
21,551,616,562,549,571,579,567,510,545,555,560,586,572,599,568,572,574,525,534,505,460,503,465,494,402,405,413,420,422,412,355,398,383,409,370,386,360,340,285,293,301,294,323,271,321
22,501,574,566,589,576,535,533,531,527,524,542,567,607,563,573,583,586,560,532,525,504,474,456,440,447,414,414,417,457,451,416,388,404,402,414,334,338,348,303,284,312,302,318,275,317
23,549,513,501,563,544,505,515,526,516,433,518,509,573,552,599,557,600,610,525,492,513,501,479,442,474,422,449,379,412,443,467,429,406,394,422,382,395,330,353,324,368,342,341,312,314
24,553,518,532,495,549,491,517,474,505,452,489,479,505,558,552,618,577,577,574,553,523,537,494,531,488,458,466,445,412,422,408,392,407,447,413,383,385,325,315,328,344,339,372,299,354
25,532,556,512,491,545,503,485,462,503,504,504,475,489,529,547,595,602,590,547,548,538,525,563,576,538,462,473,438,460,415,440,441,449,404,416,432,367,400,360,384,321,408,401,369,397
26,597,599,550,522,536,558,517,489,517,493,503,491,526,549,527,541,662,607,584,588,593,572,534,527,582,534,481,472,453,432,425,413,439,463,472,455,388,379,367,377,433,370,408,369,391
27,640,583,622,552,539,541,556,522,462,497,528,462,497,512,546,534,622,603,592,658,604,682,578,519,611,578,578,528,501,426,441,436,458,438,473,441,437,412,377,404,387,397,417,394,411
28,509,642,616,553,594,522,498,500,492,501,535,526,536,524,545,574,630,590,645,628,604,637,659,561,623,642,598,518,527,509,461,382,439,467,492,515,458,449,425,406,435,415,472,438,488
29,570,550,644,650,602,635,540,539,507,501,508,474,515,510,545,587,647,602,641,653,633,665,656,680,641,629,639,622,576,565,501,459,478,448,509,520,471,468,453,425,461,451,478,432,498
30,629,589,598,633,656,645,553,565,571,526,478,531,557,571,554,576,581,610,618,680,683,694,734,641,699,684,669,600,653,622,539,537,522,501,502,548,558,509,484,485,486,482,520,463,528
31,525,648,623,566,728,638,602,603,571,538,539,550,525,590,602,613,637,633,693,735,719,748,746,724,716,678,679,712,689,660,606,550,533,543,534,494,517,543,525,538,521,470,553,529,553
32,575,620,650,684,661,745,695,622,661,623,574,582,608,599,623,583,665,666,660,665,742,785,809,721,767,760,763,739,740,718,704,627,604,635,566,531,571,527,510,567,519,636,630,588,565
33,616,632,669,648,676,731,799,729,663,631,662,597,606,675,662,653,636,650,683,702,802,800,788,774,840,813,773,803,753,739,722,742,681,663,664,561,547,547,578,572,591,591,624,602,642
34,697,637,647,713,750,738,698,813,771,701,696,616,691,691,747,667,639,724,710,738,760,819,812,788,780,830,813,922,831,824,757,757,713,724,757,676,618,602,564,620,645,650,677,625,701
35,770,734,675,671,791,789,801,717,904,857,770,789,657,713,746,737,729,735,782,765,773,803,877,812,862,898,914,923,848,868,874,786,814,825,824,791,666,667,584,626,685,710,706,710,729
36,830,800,826,743,747,833,820,800,766,933,810,876,769,783,766,815,813,765,790,829,829,839,880,817,891,920,1003,950,930,924,933,915,900,851,832,808,747,726,607,675,650,767,781,826,791
37,936,887,909,840,842,840,895,838,859,800,1008,943,916,879,850,857,873,864,817,824,873,855,883,933,964,928,1028,960,1019,982,1005,1022,963,914,929,896,865,792,718,735,687,757,751,909,932
38,960,916,915,990,989,869,908,954,895,945,913,1048,1065,910,918,908,916,912,971,862,871,960,972,975,959,992,1017,1081,1045,1058,1062,1007,1026,983,1076,1006,983,878,823,809,880,805,765,807,884
39,1038,1048,1027,1041,1139,1022,917,872,1002,1028,1024,1048,1159,1119,1053,1003,1024,1032,1011,974,1019,981,1058,1042,1034,1047,1084,1138,1133,1150,1185,1091,1131,1132,1113,1080,1044,983,958,962,854,874,858,902,945
40,1208,1138,1126,1081,1152,1187,1075,1087,1059,1054,1057,1195,1167,1269,1236,1169,1050,1053,1069,1095,1087,1082,1120,1082,1077,1127,1174,1197,1189,1267,1193,1219,1185,1240,1224,1277,1136,1126,1092,997,1061,993,969,924,951
41,1333,1255,1301,1216,1278,1227,1274,1159,1148,1097,1132,1213,1165,1198,1513,1275,1333,1166,1186,1202,1201,1206,1138,1135,1228,1255,1289,1245,1254,1309,1217,1310,1317,1296,1381,1332,1277,1216,1118,1171,1154,1018,1120,1108,1007
