Age,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0.018508778633389227,0.01689115244755667,0.01435959806051419,0.01416942560631801,0.013681526791241305,0.014022108541452034,0.013774358710785329,0.012403225659372559,0.011914586731160635,0.011160656712704123,0.010854093078499903,0.01048227407195343,0.010866686341725502,0.010983297689736196,0.0108768319320741,0.009946285194752278,0.009772530028871967,0.009014502128660546,0.008105789940054049,0.0073625709137427565,0.007388753509138931,0.007031191562570125,0.007037326316876905,0.006763454579086412,0.006467577661920483,0.0064482204246071335,0.006244892143359009,0.006106953588145462,0.005818648290833737,0.00602203942262921,0.006256936238758805,0.006298845211711186,0.006530659322223465,0.006507890382068848,0.0064602714866559595,0.0065705652258598295,0.006238583072502163,0.006341537614625737,0.005882001462152738,0.0053169528395824155,0.00528455783469889,0.005010103155037808,0.0050300901196572035,0.004893176892215056,0.004595674773625275
1-4,0.0034284395655112166,0.0030174632477806777,0.002601355172378338,0.002500217509765044,0.0023696860053628948,0.0020204980638743827,0.002098201261037098,0.002082149142671291,0.001993056739504014,0.001914729305523736,0.0019568379235809824,0.0019413827655310621,0.001837347802068908,0.0018732288132699716,0.0018977845829649188,0.0019004672108591176,0.0018120938175347732,0.0017765920075025418,0.0015987689164004679,0.001532982676839959,0.0014627400506529633,0.0012934151145685292,0.0013304553757440768,0.0012647881400816104,0.0012810870756797409,0.001278841449078281,0.0011104214196688716,0.0010870410477950604,0.001088735208742774,0.0010864504112990843,0.0010670478854838737,0.001020646214860609,0.0011027150206911979,0.0011223500792605365,0.0010608990558860923,0.0009810280960013723,0.0009988142419160141,0.0010267423836358633,0.0009191176470588235,0.0009610413941692197,0.0008959552267853792,0.0008460770228706232,0.0008322086516210486,0.0007197301588347289,0.0006769326671147084
5-9,0.0021562607232389164,0.0020664868365241357,0.0019300850911943173,0.0017935015714126534,0.0018076162697455097,0.0016815280590192665,0.001538882481077641,0.001320720879548432,0.0011466488433179794,0.0011940506841895248,0.0011272750954384899,0.0010541917167668671,0.000997374136378427,0.0009963652842745001,0.0010736654661741463,0.0010414560315507965,0.0009738251384000286,0.0010445989591151704,0.0009381336343770004,0.0008553709088809683,0.0008431514702453763,0.0008461739845912185,0.0007638379098389523,0.0008252742614032508,0.0008253769965200321,0.0007228234277398979,0.0007271786288097036,0.0007412395577050033,0.0006660691231734493,0.0006698416069663527,0.0006258646251395798,0.0005952340110195484,0.0006361145285762219,0.0005864061654431021,0.0006365394335316553,0.0005718196552284866,0.000580416119188272,0.0005305741065349345,0.0005711534135642784,0.0005117458687363173,0.0005733412116610939,0.0005010103155037808,0.00046550101639970126,0.0005089167484666618,0.0004951186174340194
10-14,0.0019150112608056534,0.0018823294997411231,0.0018404844895483102,0.0017583947321424484,0.0018375933223117704,0.0017303752649590867,0.0016643512884739517,0.001656600412782268,0.0015721159141280716,0.001491425441624273,0.0014311897016364872,0.001398630594522378,0.001136613014294687,0.0011763939026169332,0.001095231200071475,0.001012568929945738,0.0010579636303577912,0.0010337660810206429,0.0009539005862152694,0.0010316107409061766,0.0010060330042700513,0.001006682125314783,0.0009172315884541517,0.0009517530754114119,0.0009464747797932415,0.0009166354237492772,0.0008516506463537069,0.0009414404203887206,0.0009144060061344144,0.0008903992092601518,0.0008259361036678061,0.0009057163049519353,0.0008720361257130075,0.0008387174235714397,0.0006537898246842748,0.0007219223147259643,0.0006534132384726866,0.0005867099335062075,0.0005975143403441683,0.0005846046025903015,0.0005926279190870023,0.0005308718574874499,0.0005375029721737558,0.000525386546151667,0.0005714155847107371
15-19,0.00394240581156469,0.003957873254467702,0.003968865994221495,0.004032707363125302,0.004324189832683081,0.004060238966452331,0.0042221009525047655,0.004173417186697346,0.004005727209222678,0.0038734579374026137,0.003679537553611467,0.003337031205267678,0.003497620074613877,0.003454687107157379,0.0032918552384708045,0.003245997996147373,0.003148960967530333,0.0030254680964002345,0.0025747432351893138,0.00238379565903062,0.002285132109699116,0.002418530431096816,0.0024652555491728482,0.002565938939190567,0.0026386569618478246,0.002502081096022724,0.002515644986152488,0.0025695201632050667,0.002511327286631746,0.0023754870647050654,0.0024880683868253786,0.002525027274411456,0.002525234873056705,0.0024395888544546857,0.002389179174637785,0.0023694776963530412,0.0020528214276812197,0.001805400628721262,0.0016853419187942865,0.0016185047306135052,0.0016709301978991517,0.001577684801470515,0.001498645358552995,0.001452636155817462,0.0015876262552474458
20-24,0.004155184840543096,0.004273355905186143,0.004083437255342619,0.004252506704643108,0.00431369786428489,0.004006951105427072,0.0041586107126174755,0.004036633666375875,0.0041309533329008255,0.003940215536010414,0.004219141038085462,0.00411537360435156,0.004292189758375143,0.004435532682954084,0.004474889783695689,0.004395400565274967,0.004513874281511813,0.004313033035635527,0.004156168504567686,0.0039046238646964267,0.003877219260901086,0.0038070037649288154,0.00358127282317935,0.0036757905321121802,0.0035134291068082447,0.0033599374718019433,0.003550728079413147,0.0034331966121381287,0.0035046748184756065,0.003510950276513883,0.0035157859816584043,0.0034410358101014814,0.0034986299071692204,0.003502776293878233,0.0035035544430969973,0.0033058323817896883,0.003224336171318898,0.002996928827014733,0.0027239624339219434,0.0025951587106085787,0.002814105947143902,0.00257638748336878,0.002739423247589609,0.0023485931498817467,0.0025794868298447764
25-29,0.004267568130496479,0.004422795055526456,0.004324330676161393,0.004225031786953382,0.004220769001329483,0.004083922460241335,0.003924301493985811,0.0038177800338615206,0.0037432049740419825,0.003786976502842508,0.003997407422338964,0.0036203359099150683,0.0038790135228192846,0.004072371504573658,0.004174509918697183,0.00430417813915373,0.004928334260414865,0.004630281608403838,0.004744275808135116,0.004671874857564791,0.004745920775699353,0.004801219238536914,0.004680072439382105,0.004526360556317064,0.004772208696095553,0.004519632202021999,0.004535039691833489,0.004265436561972094,0.0041394962543890666,0.0038344347598781216,0.0038783086607010026,0.0036554572838116933,0.003954744994967006,0.003862972365826963,0.004074542390248699,0.004222530766577856,0.003776265609810813,0.0038172362340465602,0.0034831571251827693,0.0034625245898226758,0.0035715475478704847,0.003385967066037141,0.0036436338549847122,0.0032972534965380485,0.0035469973085027287
30-34,0.0045582662405092315,0.004718654383472936,0.004681264220423356,0.004951590721415019,0.005202517472874515,0.005176323611259133,0.005059567450065682,0.005064029885679373,0.004883818823447762,0.004580481595385229,0.0045726743554994585,0.004288338581925756,0.004520723134085526,0.004851460870159015,0.004910825690334546,0.004700995692781113,0.004920543659307665,0.005080619826333488,0.005304002598393663,0.005347967316627012,0.00591802906956319,0.0059933428079886305,0.006087224654433782,0.005767433918772144,0.006058075947430815,0.005981165286682892,0.006054908537633951,0.006247590557799313,0.006029159026058927,0.005821086940539304,0.005690922055913993,0.005511489560247288,0.005335323230063751,0.005335078051182644,0.005214793245436841,0.005021291347475148,0.005004753714841204,0.004939952773472019,0.004676428410752447,0.004826023751947237,0.0048427169009417174,0.0046932390150999865,0.0050300901196572035,0.0046230722101809705,0.0048521624508533895
35-39,0.006793944488648539,0.006619097719618945,0.006392488825629885,0.006540556794470825,0.006756827648435123,0.0064433905289708335,0.006562169794064872,0.0063543544273785895,0.006677720763849179,0.00692306641925896,0.007016395882887437,0.0070140280561122245,0.006910486049626552,0.006834879613621338,0.006674594641223208,0.006568014680729111,0.0067856135643714,0.006666862690175044,0.0068917346485073425,0.0064631400468554865,0.006970371529585355,0.0069158750342832925,0.00730967835849981,0.0072393311167921175,0.007504875779168632,0.007601560663154751,0.00826428684904001,0.008358799655191242,0.008181960216760273,0.00813939240464968,0.008650953930549547,0.008269807398055454,0.008447740744883123,0.008187065306853992,0.008235336736260495,0.008185955751880305,0.007664697524863531,0.007326630836315172,0.006484787987852885,0.006604123804336136,0.006585533917428345,0.006491567432338723,0.006465105842874988,0.0068415539583511755,0.0069495173810984814
40-44,0.011915625622790731,0.011348318507661399,0.010812295552725547,0.01076100942847592,0.010676327271473687,0.010448861416036093,0.010305070602658428,0.010140218306498434,0.009577535338661227,0.00954633660091549,0.009565557171609415,0.0095742079396889,0.009887473798118761,0.01062013651135577,0.011001605106765787,0.01066998310864743,0.011061095452002886,0.010970610401729546,0.010620618758257941,0.010021361483088572,0.01043080568871742,0.010124479517291247,0.009965893385132396,0.010148343838979822,0.010355453861744572,0.010332403459385266,0.010825789946919236,0.011082193208723463,0.011129110509912917,0.011524543159855249,0.011766596955151499,0.01211910169410118,0.012381514931215748,0.012382392502353455,0.0124047562778486,0.01302855345709655,0.01228666146784744,0.012148879456460327,0.011097950174333595,0.011124834766800009,0.011093363443974744,0.01017117299454861,0.010462051620378898,0.009702357816236585,0.009623157915242186
