"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Measles","All cases","Age-specific rate","N/1000000","1999-01","UK","United Kingdom",1,"<1",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-01","UK","United Kingdom",2,"1-4",0.343276560
"Measles","All cases","Age-specific rate","N/1000000","1999-01","UK","United Kingdom",3,"5-9",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-01","UK","United Kingdom",4,"10-14",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-01","UK","United Kingdom",5,"15-19",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-01","UK","United Kingdom",6,"20-29",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-01","UK","United Kingdom",7,"30+",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-02","UK","United Kingdom",1,"<1",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-02","UK","United Kingdom",2,"1-4",1.029829700
"Measles","All cases","Age-specific rate","N/1000000","1999-02","UK","United Kingdom",3,"5-9",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-02","UK","United Kingdom",4,"10-14",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-02","UK","United Kingdom",5,"15-19",0.276424520
"Measles","All cases","Age-specific rate","N/1000000","1999-02","UK","United Kingdom",6,"20-29",0.260300880
"Measles","All cases","Age-specific rate","N/1000000","1999-02","UK","United Kingdom",7,"30+",0.027784920
"Measles","All cases","Age-specific rate","N/1000000","1999-03","UK","United Kingdom",1,"<1",1.411396740
"Measles","All cases","Age-specific rate","N/1000000","1999-03","UK","United Kingdom",2,"1-4",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-03","UK","United Kingdom",3,"5-9",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-03","UK","United Kingdom",4,"10-14",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-03","UK","United Kingdom",5,"15-19",0.000000000
"Measles","All cases","Age-specific rate","N/1000000","1999-03","UK","United Kingdom",6,"20-29",1.041203540
"Measles","All cases","Age-specific rate","N/1000000","1999-03","UK","United Kingdom",7,"30+",0.055569850
"Measles","All cases","Age-specific rate","N/1000000","1999-04","UK","United Kingdom",1,"<1",1.411396740
"Measles","All cases","Age-specific rate","N/1000000","1999-04","UK","United Kingdom",2,"1-4",0.686553130
"Measles","All cases","Age-specific rate","N/1000000","1999-04","UK","United Kingdom",3,"5-9",0.258750550
