"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Mumps","All cases","Age-specific rate","N/100000","2000","UK","United Kingdom",1,"<1",0.144208990
"Mumps","All cases","Age-specific rate","N/100000","2000","UK","United Kingdom",2,"1-4",0.659144780
"Mumps","All cases","Age-specific rate","N/100000","2000","UK","United Kingdom",3,"5-9",1.749354560
"Mumps","All cases","Age-specific rate","N/100000","2000","UK","United Kingdom",4,"10-14",10.734064080
"Mumps","All cases","Age-specific rate","N/100000","2000","UK","United Kingdom",5,"15-19",3.747503150
"Mumps","All cases","Age-specific rate","N/100000","2000","UK","United Kingdom",6,"20-29",0.355723250
"Mumps","All cases","Age-specific rate","N/100000","2000","UK","United Kingdom",7,"30+",0.170696380
"Mumps","All cases","Age-specific rate","N/100000","2001","UK","United Kingdom",1,"<1",0.000000000
"Mumps","All cases","Age-specific rate","N/100000","2001","UK","United Kingdom",2,"1-4",0.738375070
"Mumps","All cases","Age-specific rate","N/100000","2001","UK","United Kingdom",3,"5-9",0.955132390
"Mumps","All cases","Age-specific rate","N/100000","2001","UK","United Kingdom",4,"10-14",10.105126910
"Mumps","All cases","Age-specific rate","N/100000","2001","UK","United Kingdom",5,"15-19",5.772421060
"Mumps","All cases","Age-specific rate","N/100000","2001","UK","United Kingdom",6,"20-29",0.597610270
"Mumps","All cases","Age-specific rate","N/100000","2001","UK","United Kingdom",7,"30+",0.212769140
"Mumps","All cases","Age-specific rate","N/100000","2002","UK","United Kingdom",1,"<1",0.000000000
"Mumps","All cases","Age-specific rate","N/100000","2002","UK","United Kingdom",2,"1-4",0.358170420
"Mumps","All cases","Age-specific rate","N/100000","2002","UK","United Kingdom",3,"5-9",0.295880660
"Mumps","All cases","Age-specific rate","N/100000","2002","UK","United Kingdom",4,"10-14",3.256793550
"Mumps","All cases","Age-specific rate","N/100000","2002","UK","United Kingdom",5,"15-19",7.382016380
"Mumps","All cases","Age-specific rate","N/100000","2002","UK","United Kingdom",6,"20-29",1.137346950
"Mumps","All cases","Age-specific rate","N/100000","2002","UK","United Kingdom",7,"30+",0.151421510
"Mumps","All cases","Age-specific rate","N/100000","2003","UK","United Kingdom",1,"<1",0.447195190
"Mumps","All cases","Age-specific rate","N/100000","2003","UK","United Kingdom",2,"1-4",1.020559530
"Mumps","All cases","Age-specific rate","N/100000","2003","UK","United Kingdom",3,"5-9",1.138323360
"Mumps","All cases","Age-specific rate","N/100000","2003","UK","United Kingdom",4,"10-14",6.432186550
"Mumps","All cases","Age-specific rate","N/100000","2003","UK","United Kingdom",5,"15-19",23.306463070
"Mumps","All cases","Age-specific rate","N/100000","2003","UK","United Kingdom",6,"20-29",4.871761930
"Mumps","All cases","Age-specific rate","N/100000","2003","UK","United Kingdom",7,"30+",0.322064600
"Mumps","All cases","Age-specific rate","N/100000","2004","UK","United Kingdom",1,"<1",0.144470670
"Mumps","All cases","Age-specific rate","N/100000","2004","UK","United Kingdom",2,"1-4",2.580204740
"Mumps","All cases","Age-specific rate","N/100000","2004","UK","United Kingdom",3,"5-9",3.547542110
"Mumps","All cases","Age-specific rate","N/100000","2004","UK","United Kingdom",4,"10-14",16.050253750
"Mumps","All cases","Age-specific rate","N/100000","2004","UK","United Kingdom",5,"15-19",125.373449370
"Mumps","All cases","Age-specific rate","N/100000","2004","UK","United Kingdom",6,"20-29",47.915036350
"Mumps","All cases","Age-specific rate","N/100000","2004","UK","United Kingdom",7,"30+",1.792743000
"Mumps","All cases","Age-specific rate","N/100000","2005","UK","United Kingdom",1,"<1",3.096873000
"Mumps","All cases","Age-specific rate","N/100000","2005","UK","United Kingdom",2,"1-4",8.068131870
"Mumps","All cases","Age-specific rate","N/100000","2005","UK","United Kingdom",3,"5-9",11.645901810
"Mumps","All cases","Age-specific rate","N/100000","2005","UK","United Kingdom",4,"10-14",43.150872570
"Mumps","All cases","Age-specific rate","N/100000","2005","UK","United Kingdom",5,"15-19",636.549229870
"Mumps","All cases","Age-specific rate","N/100000","2005","UK","United Kingdom",6,"20-29",215.378193580
"Mumps","All cases","Age-specific rate","N/100000","2005","UK","United Kingdom",7,"30+",5.817644780
"Mumps","All cases","Age-specific rate","N/100000","2006","UK","United Kingdom",1,"<1",8.963217710
"Mumps","All cases","Age-specific rate","N/100000","2006","UK","United Kingdom",2,"1-4",2.948563940
"Mumps","All cases","Age-specific rate","N/100000","2006","UK","United Kingdom",3,"5-9",2.982975850
"Mumps","All cases","Age-specific rate","N/100000","2006","UK","United Kingdom",4,"10-14",8.593583070
"Mumps","All cases","Age-specific rate","N/100000","2006","UK","United Kingdom",5,"15-19",58.926693100
"Mumps","All cases","Age-specific rate","N/100000","2006","UK","United Kingdom",6,"20-29",30.424983960
"Mumps","All cases","Age-specific rate","N/100000","2006","UK","United Kingdom",7,"30+",2.208144030
"Mumps","All cases","Age-specific rate","N/100000","2007","UK","United Kingdom",1,"<1",2.145540020
