"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Rubella","All cases","Age-specific rate","N/1000000","2007-01","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-01","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-01","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-01","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-01","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-01","UK","United Kingdom",6,"20-29",0.620426440
"Rubella","All cases","Age-specific rate","N/1000000","2007-01","UK","United Kingdom",7,"30+",0.026200550
"Rubella","All cases","Age-specific rate","N/1000000","2007-02","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-02","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-02","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-02","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-02","UK","United Kingdom",5,"15-19",0.251875970
"Rubella","All cases","Age-specific rate","N/1000000","2007-02","UK","United Kingdom",6,"20-29",0.248170570
"Rubella","All cases","Age-specific rate","N/1000000","2007-02","UK","United Kingdom",7,"30+",0.026200550
"Rubella","All cases","Age-specific rate","N/1000000","2007-03","UK","United Kingdom",1,"<1",1.340962510
"Rubella","All cases","Age-specific rate","N/1000000","2007-03","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-03","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-03","UK","United Kingdom",4,"10-14",0.263445460
"Rubella","All cases","Age-specific rate","N/1000000","2007-03","UK","United Kingdom",5,"15-19",0.251875970
"Rubella","All cases","Age-specific rate","N/1000000","2007-03","UK","United Kingdom",6,"20-29",0.248170570
"Rubella","All cases","Age-specific rate","N/1000000","2007-03","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-04","UK","United Kingdom",1,"<1",1.340962510
"Rubella","All cases","Age-specific rate","N/1000000","2007-04","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-04","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-04","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-04","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-04","UK","United Kingdom",6,"20-29",0.248170570
"Rubella","All cases","Age-specific rate","N/1000000","2007-04","UK","United Kingdom",7,"30+",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-05","UK","United Kingdom",1,"<1",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-05","UK","United Kingdom",2,"1-4",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-05","UK","United Kingdom",3,"5-9",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-05","UK","United Kingdom",4,"10-14",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-05","UK","United Kingdom",5,"15-19",0.000000000
"Rubella","All cases","Age-specific rate","N/1000000","2007-05","UK","United Kingdom",6,"20-29",0.124085280
