Time,1-4,10-14,15-19,20-29,30+,5-9,<1
1999-01,0.34327656,0.0,0.0,0.0,0.0,0.0,0.0
1999-02,1.0298297,0.0,0.27642452,0.26030088,0.02778492,0.0,0.0
1999-03,0.0,0.0,0.0,1.04120354,0.05556985,0.0,1.41139674
1999-04,0.68655313,0.0,0.0,0.13015044,0.02778492,0.25875055,1.41139674
1999-05,0.68655313,0.52609925,0.0,0.0,0.0,0.0,1.41139674
1999-06,0.34327656,0.26304962,0.0,0.78090266,0.0,0.0,1.41139674
1999-07,0.34327656,0.78914888,0.0,0.78090266,0.05556985,0.25875055,2.82279349
1999-08,0.68655313,0.0,0.0,0.39045133,0.0,0.25875055,0.0
1999-09,0.68655313,0.0,0.0,0.39045133,0.02778492,0.0,0.0
1999-10,0.0,0.0,0.0,0.0,0.0,0.25875055,1.41139674
1999-11,1.71638283,0.0,0.0,0.0,0.02778492,0.51750111,0.0
1999-12,3.77604224,1.05219851,0.27642452,0.0,0.0,3.62250777,2.82279349
2000-01,1.38767322,0.26053553,0.2755517,0.0,0.0,0.78329308,1.44208999
2000-02,4.16301968,1.56321321,0.5511034,0.2634987,0.0,1.82768387,5.76835996
2000-03,1.38767322,0.26053553,0.0,0.0,0.0,0.26109769,1.44208999
2000-04,1.73459153,1.04214214,0.2755517,0.39524806,0.08259502,0.26109769,4.32626997
2000-05,4.50993799,0.0,0.2755517,0.13174935,0.05506335,0.26109769,4.32626997
2000-06,1.04075492,0.0,0.0,0.0,0.0,0.0,1.44208999
2000-07,0.0,0.26053553,0.0,0.39524806,0.0,0.52219539,0.0
2000-08,0.0,0.0,0.0,0.0,0.02753167,0.0,0.0
2000-09,0.3469183,0.0,0.2755517,0.0,0.0,0.52219539,0.0
2000-10,0.0,0.0,0.2755517,0.13174935,0.0,0.26109769,0.0
2000-11,0.3469183,0.0,0.2755517,0.2634987,0.0,0.0,0.0
2000-12,0.69383661,0.0,0.2755517,0.2634987,0.05506335,0.0,0.0
2001-01,1.05482153,0.0,0.0,0.13280228,0.0,0.0,0.0
2001-02,0.70321435,0.0,0.0,0.0,0.02727809,0.0,1.48696673
2001-03,0.70321435,0.0,0.0,0.0,0.02727809,0.0,0.0
2001-04,0.35160717,0.0,0.0,0.13280228,0.0,0.0,1.48696673
2001-05,0.70321435,0.25844314,0.27357445,0.0,0.02727809,0.0,1.48696673
2001-06,0.70321435,0.25844314,0.0,0.0,0.0,0.26531455,0.0
2001-07,0.35160717,0.0,0.27357445,0.0,0.02727809,0.26531455,0.0
2001-08,0.0,0.0,0.27357445,0.13280228,0.0,0.26531455,0.0
2001-09,0.0,0.0,0.0,0.53120913,0.0,0.79594365,0.0
2001-10,0.0,0.25844314,0.0,0.13280228,0.05455619,0.0,0.0
2001-11,0.35160717,0.25844314,0.54714891,0.26560456,0.0,0.26531455,0.0
2001-12,2.81285743,0.25844314,1.09429783,1.06241826,0.05455619,0.26531455,0.0
2002-01,9.31243098,1.02576174,1.61649993,0.93663866,0.10815822,3.49677153,6.04020663
2002-02,5.73072676,0.76932131,1.34708328,0.80283314,0.02703955,1.61389455,7.55025829
2002-03,5.73072676,0.0,0.26941665,0.26761104,0.0,0.0,10.57036161
2002-04,2.50719295,0.0,0.26941665,0.40141657,0.02703955,0.0,4.53015497
2002-05,6.08889718,1.02576174,0.26941665,0.0,0.08111866,2.1518594,4.53015497
2002-06,0.71634084,0.0,0.53883331,0.0,0.0,0.53796485,1.51005165
2002-07,1.07451126,0.25644043,0.80824996,0.26761104,0.08111866,0.0,1.51005165
2002-08,0.35817042,0.25644043,0.26941665,0.13380552,0.0,0.26898242,0.0
2002-09,1.07451126,1.02576174,0.26941665,0.26761104,0.0,2.1518594,1.51005165
2002-10,4.65621549,2.05152349,0.26941665,0.40141657,0.05407911,1.34491213,10.57036161
2002-11,5.01438591,1.28220218,0.26941665,0.26761104,0.05407911,0.53796485,4.53015497
2002-12,1.07451126,0.76932131,0.26941665,0.0,0.0,2.1518594,1.51005165
2003-01,3.64485548,1.28131206,0.52849122,0.67104158,0.05367743,1.62617623,0.0
2003-02,6.92522542,1.53757447,0.26424561,0.67104158,0.05367743,3.25235246,0.0
2003-03,9.47662426,2.30636171,1.05698245,0.93945822,0.21470973,4.60749932,17.88780767
2003-04,3.28036993,0.76878723,0.0,0.8052499,0.10735486,2.71029372,2.98130127
2003-05,7.28971097,1.28131206,1.32122806,0.67104158,0.1610323,7.04676367,8.94390383
2003-06,6.56073987,0.51252482,0.52849122,0.0,0.08051615,2.43926435,2.98130127
2003-07,1.09345664,1.79383688,0.79273683,0.0,0.0,1.08411748,4.47195191
2003-08,3.28036993,1.53757447,0.79273683,0.53683327,0.02683871,1.8972056,4.47195191
2003-09,4.00934103,1.02504965,0.0,0.26841663,0.05367743,1.08411748,4.47195191
2003-10,4.00934103,0.51252482,0.0,0.40262495,0.02683871,1.35514686,4.47195191
2003-11,3.28036993,0.25626241,0.0,0.40262495,0.0,3.79441121,2.98130127
2003-12,2.91588438,0.0,0.0,0.13420831,0.10735486,0.54205874,5.96260255
2004-01,1.10580203,0.0,0.0,0.26649074,0.05335544,0.27288785,4.33412021
2004-02,1.47440271,0.51443121,0.25994909,0.0,0.02667772,0.0,7.22353369
2004-03,2.58020474,1.02886242,0.25994909,0.53298149,0.02667772,1.09155141,2.88941347
2004-04,8.1092149,1.28607802,0.25994909,0.26649074,0.02667772,0.81866356,8.66824043
2004-05,6.63481219,1.02886242,0.25994909,0.26649074,0.05335544,2.18310283,1.44470673
2004-06,4.05460745,1.02886242,0.0,0.39973612,0.05335544,1.91021498,10.11294717
2004-07,3.31740609,0.51443121,0.0,0.39973612,0.0,2.18310283,2.88941347
2004-08,0.36860067,0.51443121,0.25994909,0.0,0.05335544,0.81866356,0.0
2004-09,0.0,0.0,0.0,0.0,0.0,0.27288785,0.0
2004-10,0.0,0.2572156,0.0,0.13324537,0.02667772,0.0,1.44470673
2004-11,0.0,0.0,0.0,0.26649074,0.0,0.0,0.0
2004-12,0.36860067,0.0,0.0,0.0,0.0,0.27288785,0.0
2005-01,0.0,0.0,0.0,0.13052432,0.0,0.55063365,0.0
2005-02,1.84203924,0.0,0.0,0.0,0.0,0.0,1.40766954
2005-03,0.73681569,0.51739655,0.0,0.13052432,0.05303231,0.0,0.0
2005-04,2.94726278,0.0,0.0,0.26104865,0.02651615,0.55063365,0.0
2005-05,2.21044708,0.0,0.0,0.0,0.02651615,0.55063365,1.40766954
2005-06,0.0,0.0,0.0,0.13052432,0.0,0.0,0.0
2005-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08,0.0,0.25869827,0.25737879,0.0,0.0,0.55063365,0.0
2005-09,1.47363139,0.0,0.0,0.26104865,0.0,0.55063365,4.22300864
2005-10,0.36840784,0.25869827,0.0,0.13052432,0.0,0.0,4.22300864
2005-11,1.84203924,0.0,0.25737879,0.26104865,0.0,0.0,0.0
2005-12,0.73681569,0.0,0.0,0.13052432,0.07954847,0.27531682,2.81533909
2006-01,3.27618215,0.52240626,0.76461972,0.25449589,0.0790505,0.55756557,4.13686971
2006-02,9.10050598,2.35082819,0.76461972,0.50899178,0.05270033,2.5090451,9.65269599
2006-03,9.10050598,4.70165639,2.29385916,2.03596714,0.2371515,6.96956974,5.51582628
2006-04,16.74493101,3.65684386,2.80360564,1.6542233,0.68510435,11.15131158,22.06330513
2006-05,21.11317389,4.44045326,4.58771832,2.03596714,0.34255217,9.19983206,34.47391427
2006-06,15.28885006,2.08962506,2.5487324,1.90871919,0.34255217,8.64226648,23.4422617
2006-07,8.3724655,1.56721879,1.2743662,0.50899178,0.13175083,3.06661068,6.89478285
2006-08,1.82010119,0.0,0.76461972,0.12724794,0.02635016,0.83634836,6.89478285
2006-09,1.45608095,0.0,0.50974648,0.25449589,0.0,0.0,1.37895657
