Time,1-4,10-14,15-19,20-29,30+,5-9,<1
2000,0.65914478,10.73406408,3.74750315,0.35572325,0.17069638,1.74935456,0.14420899
2001,0.73837507,10.10512691,5.77242106,0.59761027,0.21276914,0.95513239,0.0
2002,0.35817042,3.25679355,7.38201638,1.13734695,0.15142151,0.29588066,0.0
2003,1.02055953,6.43218655,23.30646307,4.87176193,0.3220646,1.13832336,0.44719519
2004,2.58020474,16.05025375,125.37344937,47.91503635,1.792743,3.54754211,0.14447067
2005,8.06813187,43.15087257,636.54922987,215.37819358,5.81764478,11.64590181,3.096873
2006,2.94856394,8.59358307,58.9266931,30.42498396,2.20814403,2.98297585,8.96321771
2007,1.46097556,4.58395111,20.52789173,13.92236951,1.18164482,1.87020123,2.14554002
2008,1.76841833,2.43741603,17.67199721,14.20550362,1.42677791,1.60929112,2.32910815
2009,2.62892607,8.48328472,56.50542404,47.88086552,2.81357965,4.33687578,4.5831848
2010,2.20069844,6.29085189,23.22075052,26.31304463,1.99763295,2.6541085,1.52427212
2011,1.48280239,2.66372316,13.11637231,16.78933803,1.2816176,1.34019742,0.50220467
2012,1.26859884,5.00762625,18.48404965,14.04015066,1.18495389,1.36532845,1.97893179
2013,1.59336709,6.10537196,31.73295755,25.283022,1.7962985,2.80985773,1.11911902
2014,1.02023654,3.85589062,18.57003009,14.96712298,1.4564183,1.36470188,0.63661423
2015,1.35419074,2.9132057,11.4940162,9.24183473,0.85729182,1.35658954,0.38584663
2016,0.49366032,2.03503607,7.12894498,4.2970633,0.56763521,0.72573389,0.0
2017,0.59103419,2.69078187,16.30325987,10.41474435,0.85329293,1.12870888,0.51758093
2018,0.4716502,2.29209089,7.71979954,5.54959974,0.69550626,0.58151734,0.2602706
