Time,<1,1-4,5-9,10-14,15-19,20-29,30+
1999-01,0.0003127983240335432,3.794845869348114e-137,1.7075331321697568e-242,7.178088189636451e-208,3.324576183750933e-217,0.0,3.4822009610142135e-07
1999-02,0.00010659191310770545,1.197651641575334e-137,2.3624063697338983e-243,7.374532050513567e-209,2.46905474090052e-218,0.0,4.0620284483605474e-08
1999-03,4.2070828585494795e-05,4.422972422824996e-138,6.915828593160931e-244,1.8102574609322082e-209,4.337948476300742e-219,0.0,1.0862585937597994e-08
1999-04,2.3622584180243284e-05,2.35232673457959e-138,3.6348832359130977e-244,9.409610525780885e-210,2.1871086108693067e-219,0.0,5.6786008992033664e-09
1999-05,1.8943641708121914e-05,1.8029913140196958e-138,2.561419500242419e-244,6.07906811141588e-210,1.0616021700836535e-219,0.0,3.841192194427019e-09
1999-06,2.1725514449599236e-05,1.9901701698786747e-138,2.7488225876084468e-244,6.3149051305577e-210,9.39617619144597e-220,0.0,4.063576272865265e-09
1999-07,3.569487170285733e-05,3.1643988052103045e-138,4.670556406305184e-244,1.1553857873567901e-209,2.310681682494219e-219,0.0,7.144123154880617e-09
1999-08,8.409125628011343e-05,7.245890132816568e-138,1.1308040000760231e-243,2.954813138719608e-209,7.016238855099833e-219,0.0,1.7747076553197702e-08
1999-09,0.0002842263077153601,2.3887489226189237e-137,3.856769253835895e-243,1.0390326047540647e-208,2.6844140120808065e-218,0.0,6.140348824616816e-08
1999-10,0.0013788793561842687,1.1332987397679185e-136,1.8103793899082028e-242,4.831747230351681e-208,1.2208729320427718e-217,0.0,2.8668319744753465e-07
1999-11,0.009554765417773212,7.68991578953339e-136,1.2223324600893264e-241,3.248298723135654e-207,8.108631267052059e-217,0.0,1.922111525173194e-06
1999-12,0.09484853470258524,7.410104545373919e-135,1.1815485761507072e-240,3.1523287617918e-206,7.880724712809199e-216,0.0,1.786466036063813e-05
2000-01,19.920143802971797,5.262854074571326,1.3793815227649473e-134,2.032464870671708e-204,4.175775798069275e-205,1.2133499172842374e-214,0.0001847916213365961
2000-02,4.045374394830442,0.05820013451460146,3.694835202733347e-136,1.4717258143753124e-205,4.682372985480705e-206,1.3364692144529204e-216,4.219603406530032e-10
2000-03,0.23228212790205316,0.0020026799107654425,1.4503006954230714e-137,6.746557743273976e-207,2.3074019547091333e-207,4.596239710757825e-218,3.8212708110350446e-12
