Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2007-01,0.00017522130875442056,2.1134741350505973e-26,2.1715992989825027e-11,2.2396960248548895e-07,3.1647299829793464e-06,1.4696564886039822e-15,1.1112570535907173e-09
2007-02,2.416287239925122e-07,2.729286073656424e-29,-5.658430534946538e-14,-3.192994535272633e-10,6.4652924631722524e-09,-4.541053175004602e-18,-3.5323112816936265e-12
2007-03,1.1664383036601462e-08,1.234452166397286e-30,1.7220973547457373e-14,1.629356193800548e-10,-4.112663411060987e-10,1.2916542736933759e-18,9.981616561538037e-13
2007-04,1.3261700873317994e-10,1.312176937563866e-32,-4.714822179832155e-14,-2.5848107551542e-10,-1.243288708648085e-11,-3.6039585091132136e-18,-2.7722624327369793e-12
2007-05,-5.371151818057691e-11,-5.203425910971163e-33,1.1415107567741598e-13,7.051818338736503e-10,-4.339554662958839e-11,8.707862244587017e-18,6.704337577670605e-12
2007-06,-1.1690880663385388e-12,-1.1884800603769207e-34,-3.6216886771104784e-14,-1.9302030012369526e-10,8.418739402922453e-12,-2.7690735152805516e-18,-2.1300505861002575e-12
2007-07,1.642121272910546e-11,1.4381849715996592e-33,9.134842748526668e-14,4.56917779576238e-10,-1.6671978468972475e-11,6.989435967985376e-18,5.37436932244863e-12
2007-08,-4.198424639832699e-12,-3.974892417758336e-34,-3.0198330544412674e-14,-1.5591469874258702e-10,6.262019946280244e-12,-2.3100337620712614e-18,-1.7765983239645373e-12
2007-09,3.1486826200249494e-11,2.629927093371945e-33,5.039452665352873e-14,1.994945056220483e-10,-1.0866652185646668e-12,3.864299766645212e-18,2.9694507706505948e-12
2007-10,-4.1477350457767674e-11,-3.498394228778528e-33,-7.13259405467517e-14,-2.915564431826407e-10,2.9579690673989534e-12,-5.468200605670119e-18,-4.202613498171261e-12
2007-11,2.5825337834832853e-11,2.0980547368920583e-33,3.2934257988467354e-14,1.1377135875689557e-10,1.8566663783519034e-12,2.5273509331724544e-18,1.9420355966613835e-12
2007-12,-4.6520003921106964e-11,-3.7705882001441107e-33,-5.79763260071948e-14,-1.9644487556900234e-10,-3.860973221903645e-12,-4.4495163886892454e-18,-3.4196937863206853e-12
2008-01,3.234486008841286e-06,1.5128845097092867e-06,7.467729361502455e-14,9.422893408763334e-10,6.09355343075733e-08,9.765426335381015e-07,4.051485764000227e-12
2008-02,7.303109961391977e-06,3.4167341063444643e-06,1.292716443376006e-13,1.8164458340696663e-09,1.1434453549311293e-07,1.680283814471085e-06,6.313765615468372e-12
2008-03,1.858657129030751e-05,8.695653163301566e-06,3.507162973178062e-13,4.870217685750098e-09,2.829930215087232e-07,4.150171099603749e-06,1.7502661756583257e-11
2008-04,6.171984201877245e-05,2.8875296906387805e-05,1.1622461923790865e-12,1.6140480970619374e-08,9.098907097816722e-07,1.3408357532179496e-05,5.78718300216876e-11
2008-05,0.00026946116352044125,0.0001260644465984737,5.312466075834805e-12,7.246067025909578e-08,3.850150309055079e-06,5.703054353151515e-05,2.6847018802592594e-10
2008-06,0.0015564236801500688,0.0007281078417201124,3.0014595543083374e-11,4.120123042141207e-07,2.1587113846230683e-05,0.00032134574469116155,1.5031955625909501e-09
2008-07,0.011946179585991892,0.005585809598907314,2.2938321308944356e-10,3.1499622281086266e-06,0.00016107913847802723,0.0024088825404890886,1.1448330755449019e-08
2008-08,0.12064464738153102,0.05614416933244231,2.30237879472753e-09,3.167888524447322e-05,0.0015864357652120473,0.02377885469148442,1.1368285986052964e-07
2008-09,1.3601096412335107,0.6003812366813123,2.585454762621361e-08,0.00035885674671270486,0.0177954947331261,0.26088134385293227,1.1729374757540333e-06
2008-10,5.97140791729421,2.0274054181537657,1.1368442673162173e-07,0.0016447792772536786,0.08453413519739006,1.0828824415493508,3.4365111342685293e-06
2008-11,3.6297402210145933,0.8473540865059949,6.9031891772456e-08,0.0010597347317759772,0.05720252554438129,0.6041533405596288,1.149621653632337e-06
2008-12,0.6979066495940461,0.14484774180706095,3.424430976768724e-05,0.0002059600369015768,0.011133370927498458,0.11413988784742153,0.0004252594085100643
2009-01,1.5270185972015349,0.6576617089733949,0.0014909701254847698,0.0003888573921492891,0.0267790979210343,0.6474747566452669,0.02000392408694215
2009-02,5.614532474139206,1.8600693268322053,0.005324720017480263,0.001435335446080501,0.10385201263164372,2.0899870171067487,0.042835408197473585
2009-03,2.124000673361026,0.515151275051011,0.0019401406796519484,0.0005460097568688059,0.04125737080232189,0.6673573363167693,0.00832101139661731
2009-04,0.2664450122730616,0.057950263798257906,0.00023507269110985642,6.733078944734381e-05,0.005033362383504965,0.07599124843502975,0.0008286816736124405
2009-05,0.031860998251465045,0.006775681431042679,2.735311147170007e-05,7.866997786586463e-06,0.0005695500629793269,0.008568828411088109,9.365158397583789e-05
2009-06,0.004444198377698272,0.000937092344971413,3.7304163359687045e-06,1.0753318715798989e-06,7.519744020917894e-05,0.0011367541815389404,1.2655095222972607e-05
2009-07,0.0007483036921107633,0.00015698162244420777,6.160231558123867e-07,1.7792180585625103e-07,1.2020190652203833e-05,0.00018276030279776312,2.0758466035409977e-06
2009-08,0.00015439606152189977,3.227323692733819e-05,1.2485765788920787e-07,3.611931660677686e-08,2.3603511916693576e-06,3.61002855948922e-05,4.181609433392443e-07
2009-09,3.951322452566686e-05,8.237002792343961e-06,3.144822027843861e-08,9.11246743616782e-09,5.762241004226426e-07,8.865924467499342e-06,1.0471002023348247e-07
2009-10,1.2687008335565686e-05,2.6391360208322112e-06,9.936701122841528e-09,2.8830331405636095e-09,1.768855827869592e-07,2.7374545304159614e-06,3.290264900812634e-08
2009-11,5.16522027649291e-06,1.0726229918156527e-06,3.997715813984851e-09,1.1634143735200775e-09,6.897361735577756e-08,1.073926156336391e-06,1.3166693625145387e-08
2009-12,2.1454665655173955e-06,4.057425409542681e-07,1.1993607070492039e-08,9.54923977619735e-10,3.1986083096416373e-08,5.415698126065571e-07,1.706487868765108e-08
2010-01,8.139712762145201e-06,4.455026511585025e-06,-2.6594257502285997e-08,6.004422985564101e-10,1.202720158275522e-07,3.5835228270886255e-06,1.7229342950172283e-07
2010-02,0.00023117420944740452,0.00012652514216893174,3.69177320017186e-07,5.2522406558772484e-08,3.182840706749887e-06,0.00010017467835035654,5.141707512328845e-06
2010-03,0.007944403659121413,0.004346799126656031,1.2806376152020257e-05,1.7904288351593806e-06,0.00010654988016329907,0.003357024250819074,0.00017385433755268001
2010-04,0.3165390348423669,0.17119525142317987,0.0005034509866611516,7.064122613313449e-05,0.004143599478728449,0.12995147849962224,0.006662220699743624
2010-05,5.967892710626222,2.5848291358925413,0.009220213769696941,0.0013201500091688041,0.08007113132718463,2.1894648440945117,0.07867128649399797
2010-06,5.711241747011487,1.5809210638343132,0.008441665947226519,0.0012708116054731661,0.08227523279584142,1.6899596436268287,0.02933341065784632
2010-07,0.573500255139292,0.1211431334347507,0.000811297101230399,0.000126749837057033,0.008264640212861125,0.14325774835491772,0.0016565100363927741
2010-08,0.042539778405853435,0.008639918629607668,5.826609467201541e-05,9.164083201109612e-06,0.0005769142900697438,0.009885538800451232,0.00011262350943985408
2010-09,0.003736066179904629,0.00074882826663486,4.980631360720347e-06,7.856272071465171e-07,4.759008562123246e-05,0.0008196150325462392,9.528901058768365e-06
2010-10,0.00040765812075460595,8.096851038114083e-05,5.307358349516695e-07,8.390770112818831e-08,4.90040572061895e-06,8.491264974208601e-05,1.0087060428251582e-06
2010-11,5.610363577601696e-05,1.1063495254648448e-05,7.149961548389219e-08,1.13259509233808e-08,6.385713909907997e-07,1.113445782796596e-05,1.350657231023733e-07
2010-12,8.360008690866394e-06,1.6526323781684837e-06,2.8540855773586185e-08,2.4267466237470198e-09,1.017214110686504e-07,1.909641408892604e-06,4.830622282389618e-08
2011-01,5.441117612026147e-06,2.8488844908136635e-06,5.2350196860827605e-08,2.0411962146026606e-09,5.753508442243871e-08,2.106882646124575e-06,1.0470126415168535e-07
2011-02,1.9188298527872405e-05,1.0046685910980457e-05,-9.318052118746298e-09,2.9605134939684682e-09,2.2368261375083076e-07,7.218390871144287e-06,3.813558780612139e-07
2011-03,8.012504267296272e-05,4.1952037503623085e-05,1.686851146070166e-07,1.707421661738609e-08,8.832628597271741e-07,2.9382171350123e-05,1.5734327903950407e-06
2011-04,0.00040222983934135037,0.0002105966589963093,6.643473646748312e-07,8.13494261807813e-08,4.291956580762535e-06,0.00014327921347839778,7.786536992656148e-06
2011-05,0.0024346633436811427,0.0012745934651905988,4.222763960362976e-06,4.922079697544223e-07,2.5192004214896063e-05,0.0008431062083744112,4.636064677660066e-05
2011-06,0.01786686666803705,0.009346833290851952,3.069789083616449e-05,3.5760345746524208e-06,0.00017934267187835057,0.006016280807709384,0.0003345031319442566
2011-07,0.15673533745086954,0.08148254728427146,0.0002663421820354821,3.1052355688118715e-05,0.0015284727585175226,0.05124473235247062,0.002852535943755649
2011-08,1.3668588680527005,0.6729359384164648,0.0022856611072772544,0.00026766424285138416,0.013063505040963614,0.42655372177682754,0.021886780354615883
2011-09,4.774153286845967,1.8841621661947348,0.007736380036756579,0.0009235142538347176,0.04598443186542185,1.3333444489686999,0.04844984850006784
2011-10,3.0139634972053186,0.8807842317880815,0.004700049628693191,0.0005787328635870948,0.029311091892873266,0.7233675399966069,0.016505471377702273
2011-11,0.6764367775792868,0.16977385076376306,0.0010229691873371366,0.00012839443635236,0.006391866059324899,0.14612368146622728,0.0027157967604171575
2011-12,0.14236985088928455,0.04740003620709865,0.00023206638644595982,2.7145007839638456e-05,0.0012774760866812382,0.034120497792115845,0.0012074639055488588
